Publisher,Comic_Issue_Number,Title,Description,Condition,Grade_Condition,Price_Paid,Price_Tag
DC,33,the Phantom Stranger vol. 2,the Phantom Stranger (crypt),"Fair condition, corners creased, creased on spine, some tears",B-,1.67,2.17
DC,15,Super Team Family,Super Team Family (flash and the new gods),"bottom has some wear, corners are creased, good condition",B+,33.09,43.02
DC,15,New Gods,New Gods (Apocalypse Child),"right corners creased, Near mint",A,8.67,11.27
Marvel,116,Daredevil,Daredevil (two flew over the owl's nest),"Top left corner dented, bottom right creased, great condition",B+,89.59,116.46
Marvel,125,Daredevil,Daredevil (Death Beneath a Storm-Swept Sky),"Bottom corners are dented, stamp of date near number",C,76.72,99.73
Marvel,106,Daredevil,Daredevil (I am Terrex and I am Death),"Extreame water damage, good corners, top left corner torn a bit",B+,6.02,7.83
Marvel,149,Daredevil,Daredevil (catspaw),"Great Corner, near mint",B+,18.64,24.23
Marvel,133,Daredevil,Daredevil (Uri Geller),"Bottom right corner dented, spine is ripped, okay condition",B,61.48,79.92
Marvel,136,Daredevil,Daredevil (Hands of the Jester),Near Mint,A,43.83,56.97
DC,126,Brave and the Bold,Brave and the Bold (Batman and Aquaman),"corners are creased, spine is great, near mint",B+,45.71,59.42
DC,142,Brave and the Bold,Brave and the Bold (Batman vs. Aquaman),"Corners are good, Colors are vibrant, near mint",B+,74.88,97.34
DC,113,Brave and the Bold,Brave and the Bold (Batman and Metal Men),"top right corner is creased,good spine, bottom left corner torn",B+,77.46,100.70
DC,143,Brave and the Bold,Brave and the Bold (Batman and the Creeper plus the Human Target),"top right dented, near mint",A,86.52,112.48
DC,8,DC Special,"DC Special (Batman, deadman and sgt. Rock)","top left corner torn, great condition",B+,36.78,47.82
DC,144,Brave and the Bold,Brave and the Bold (Batman and Green Arrow plus the Human Target),"Corners dented, okay condition",B,1.90,2.47
DC,123,Brave and the Bold,Brave and the Bold (Batman and Plastic Man Metamorpho),"Good Condition, mint",B+,20.17,26.22
DC,145,Brave and the Bold,Brave and the Bold (Batman and the Phantom Stranger),"Corners dented, Near mint though",A,82.37,107.08
DC,146,Brave and the Bold,Brave and the Bold (Batman and the Unknown Soldier),Near Mint,A,60.38,78.49
DC,106,Brave and the Bold,Brave and the Bold (Batman and the Green Arrow plus?),"spine is okay, smudge on front cover, corners are good",B,8.20,10.66
DC,134,Brave and the Bold,Brave and the Bold (Batman and Green Lantern),Mint Condition,A+,65.48,85.12
DC,139,Brave and the Bold,Brave and the Bold (Batman and Hawkman),"bottom right corners creased, good condition",B+,95.51,124.16
Gold Key,56,Star Trek,Star Trek (Captain Kirk sees ancient history-being unmade),"bottom right spine bent, good condition",B+,3.19,4.15
Gold Key,55,Star Trek,Star Trek (Spock vs. Slott i: a World Against Itself),"Right front cover worn down, bottom left fayed a bit, okay condition",B,7.26,9.44
Gold Key,54,Star Trek,Star Trek (his killer birds-make deadly sport with scotty),"bottom right corner cut, top left of spine dented, good coloring",B+,64.12,83.35
Gold Key,50,Star Trek,Star Trek (Kirk must die for the evictors to survive),"bottom left corner dented, bottom right corner creased",C,59.82,77.77
Gold Key,43,Star Trek,Star Trek (Kirk plunges into a watery world of hostile mutants),"cover is creased around, bottom left and right corner creased, spine torn on bottom",B,79.98,103.98
Gold Key,32,Star Trek,Star Trek (the animal people-they lived like beasts but rebelled like men),"Bottom right torn, very good condition",B+,20.86,27.12
Gold Key,31,Star Trek,Star Trek (Prisoners of a powerful secret-for life),"Bottom left corner dented, right part of cover creased",C,65.84,85.59
Gold Key,30,Star Trek,Star Trek (the Last Gasp of a Dying Star),"top right corner torn and bottom left corner worn, good condition",B+,12.12,15.76
Gold Key,29,Star Trek,"Star Trek (k-2, Planet of Death, where cannibal plants stalk animal prey,reprints issue 1)","bottom has tears, rigth corners dented good condition other wise",B+,36.18,47.03
Gold Key,28,Star Trek,Star Trek (Dead Planet? Or Deadly?),corners are dented,B,67.44,87.67
Gold Key,27,Star Trek,Star Trek (the Enterprise Crew is Locked on a Deep Freeze Planet Doomed to Disappear into Space),Near Mint,A,76.48,99.43
Gold Key,25,Star Trek,Star Trek (Miniature People Under a Strange Sun Threaten the Lives of the Enterprise Crew),"right corners creased, Near mint",A,70.36,91.47
Gold Key,23,Star Trek,Star Trek (a Planetful of Doomed Children-Playing their Deadliest Game),"left corners dented and torn, good condition",B+,35.27,45.85
Gold Key,21,Star Trek,"Star Trek (Death Grazes the Enterprise Crew When 10,000-year-old Mummies Come to Life )","top corner frayed, spine bent up, fair condition",B-,49.01,63.72
Gold Key,15,Star Trek,Star Trek (the Enterprise Crew and Their Enemies are Trapped in a World that Does not Exist),"Fair Condition, creases and wear and tear, bad ish condition",B-,87.47,113.71
DC,17,Ghosts,Ghosts (devils ouija),"Fair condition, spine really worn, corners creased",B-,100.65,130.85
Charlton,69,I Love You,I Love You (where happiness lies),"good ish condition, top left corner torn, stains, discoloration,spine bad",B+,3.76,4.88
Atlas,1,Weird Suspense,Weird Suspense (1st appearance of the Tarantula),"right corner bent, great condition, near mint",B+,68.37,88.88
DC,233,World's Finest Comics,World's Finest Comics (superman and batman),"bottom rigth corner creased, near mint",A,31.34,40.74
DC,219,World's Finest Comics,World's Finest Comics (Superman and Batman plus metamorpho),"spine worse for wear, corners great, good condition",B+,91.59,119.07
DC,10,Weird Worlds,Weird Worlds (Iron Wolf),Near Mint,A,73.69,95.80
DC,221,the Unknown Soldier,the Unknown Soldier (die),"bottom rigth corner bent, good condition",B+,77.15,100.29
DC,223,the Unknown Soldier,the Unknown Soldier (battle novel),Near Mint,A,23.97,31.16
DC,18,Batman Family,Batman Family (Huntress by Joe Staton),"bottom right and top left corner creased and worn, good condition",B+,35.80,46.55
DC,216,The Unknown Soldier,the Unknown Soldier (taps at arlington),"Near mint , great condition",A,63.90,83.07
DC,17,The Warlord,The Warlord (Citadel of Death),Near Mint,A,82.91,107.79
DC,10,The Warlord,The Warlord (the Tower of Fear),"bottom right corner creased, great condition",B+,22.04,28.65
DC,8,The Warlord,The Warlord (the city in the sky),Near mint,A,28.70,37.31
DC,6,The Warlord,The Warlord (spy),Near Mint,A,27.48,35.72
DC,2,The Warlord,The Warlord (arena of death),"bottom left corner torn a bit, good condition other wise",B+,81.87,106.43
DC,14,The Warlord,The Warlord (Death),"bottom left corner worn, great condition",B+,98.36,127.87
DC,14,Weird Mystery Tales,Weird Mystery Tales (Bat),"bottom right creased, spine good ish, good condition",B+,5.08,6.61
DC,5,The Warlord,The Warlord (the Secret of skartaris),"bottomr right ripped, bottom left corner warn down, good condidtion",B+,9.59,12.47
DC,32,Weird War Tales,Weird War Tales (fire breathing monster),Near Mint,A,79.77,103.70
DC,4,The Secret Society of Super Villains,The Secret Society of Super Villains (the mightiest menaces on earth),Near Mint,A,51.73,67.25
DC,11,Claw the Unconquered,Claw the Unconquered (death at darkmorn),Near Mint,A,79.56,103.43
DC,199,World's Finest Comics,World's Finest Comics (superman and the flash),"Fair condition creases all over, corners dented, stains, really bad ish condition",B-,50.21,65.27
Charlton,39,The Fightin' 5,The Fightin' 5 (5 Trails to Death),"bottom corners dented and creased, top left dented corner, top missing chunk of comic, fair condition",B-,75.79,98.53
Charlton,5,Space: 1999,Space: 1999 (Cover and art by John Byrne),"black mark over price, other than that near mint",A,91.80,119.34
Charlton,4,Space: 1999,Space: 1999 (Cover and art by John Byrne),Near Mint,A,14.65,19.05
Charlton,97,Judo Master,Judo Master (this one's for pop),"bottom corners dented, good condition",B+,20.25,26.32
DC,2,Doorway to Nightmare,Doorway to Nightmar (devil),"bottom right corner bent, good condition",B+,44.51,57.86
DC,307,Superman,Superman (Supergirl kills 7 million people),Near Mint,A,65.16,84.71
DC,9,Freedom Fighters,Freedom Fighters (enemies of america),"Bottom rigth creased, great condition",B+,58.09,75.52
DC,236,The Flash,The Flash (Guest starring golden age flash & Dr. Fate),"top corners dented or creased, good condition",B+,70.11,91.15
Gold Key,12,Dagar the Invincible,Dagar the Invincible (dagar battles a monstrous gorilla in the forest of fear),"bottom corners are worn, bottom right corner ripped, good condition",B+,40.04,52.06
Gold Key,20,the Lone Ranger,the Lone Ranger (Showdown),"spine is okay, some fading near publising, right corners creased or dented",B,1.69,2.20
Gold Key,3,The Occult Files of Doctor Spektor,The Occult Files of Doctor Spektor (the mummy's soul,"bad condition tearing around spieine and bottom left corner, creasing around right corner and all around, held toether with one staple",C,78.90,102.57
Gold Key,40,"Magnus, Robot Fighter 4000 A.D","Magnus, Robot Fighter 4000 A.D (reprints 17)","bottom right corner torn and creased, spine okay , top left corner creased",B,28.81,37.46
Charlton,3,Scary Tales,Scary Tales (Painted cover by Tom Sutton/Art by Steve Ditko),"right corners corners creased, wear on front art",C,16.58,21.56
Charlton,84,Captain Atom,Captain Atom (First New Captain Atom),"bottom left corner creased, bottom worn, spine is creased a bit, okay condition",B,52.68,68.48
Charlton,91,Judo Master,Judo Master (Sarge Steel begins),"stains all over cover, top left corner torn, bottom right corner creased, okay condition",B,10.62,13.80
Charlton,35,The Many Ghosts of Dr. Graves,The Many Ghosts of Dr. Graves (Cover and art by Steve Ditko),"good ish condition, spine is creased a bit",B+,81.48,105.93
Charlton,4,E-Man,"E-Man(city in the sand,Back-up story art by Steve Ditko)","left corners dented, spine in okay condition, good to fair",B,28.85,37.50
DC,199,The Flash,The Flash (Flash Dead),"ten written on next to price, left corner torn a bit spine is okay, good condition",B,21.38,27.80
DC,7,Secrets of Sinister House,Secrets of Sinister House (Girl Riding Dragon),"Bottom left corner worn, spine creased and worn, fair condition",B-,27.80,36.14
Charlton,117,Fightin' Army,Fightin' Army (Burning Plaine),"spine bent, good condition",B+,99.17,128.92
Atlas,3,The Destructor,The Destructor (Art by Ditko),"top left corner worn, great condition though, spine bent",B+,16.85,21.90
Atlas,3,Phoenix,Pheoenix (Origin and only appearance of Dark Avenger),"bottom corners worn and creased, top right corner creased, good spine, great condition",B+,72.00,93.60
Charlton,3,Space: 1999,Space: 1999 (Art by Joe Staton),Near Mint,A,15.68,20.38
Gold Key,199,Tarzan of the Apes,Tarzan of the Apes,"shaded in on ""of th"", spine is bad, top right corner bent, not good condition",C,25.66,33.36
Charlton,8,E-Man,E-Man (Nova Kane begins),Good condition,B+,34.85,45.31
Charlton,10,E-Man,"E-man (Back-up story art by John Byrne, last issue)",Near Mint,A,45.51,59.16
Charlton,2,E-Man,E-man (Back-up story art by Steve Ditko),"top rigth corner creased, left corners dented and worn, good condition",B+,74.08,96.31
Charlton,10,Space Adventures,Space Adventures (Reprints Capt. Atom by Ditko),"Bottom left corner dented, good condition",B+,1.73,2.25
Charlton,6,E-Man,E-Man (Disney parody/Back-up story art by John Byrne),"right corners creased and dented, great condition",B+,38.11,49.54
Charlton,96,Judo Master,Judo Master (the Acrobat Returns),"bottom torn up, hole near price, stains all over, fadeing, not great condition",B+,69.79,90.73
Atlas,3,Iron Jaw,Iron Jaw ( the Lizard King),"right corners dented , spine is okay, great condition",B,92.80,120.64
Charlton,2,Creepy Things,Creepy Things ( Swamp),"Corners slightly creased, great condition, spine is good,",B+,74.52,96.88
Modern,83,Captain Atom,Captain Atom (Modern imprint reprint),"top torn a bit, good condition other wise",B+,92.08,119.70
Charlton,5,E-Man,E-Man (Miss Liberty Belle by Steve Ditko),"Near Mint, great spine",A,27.76,36.09
DC,7,Karate Kid,Karate Kid (stikes twice),"bottom corner dented, top left corner worn, good spine good condition",B+,7.46,9.70
DC,456,Detective Comics,Detective Comics (Death Kiss),"right corners are creased, spine is slightly worn, good condition",B+,47.81,62.16
DC,469,Detective Comics,Detective Comics (1st appearance & Origin of Dr. Phosphorus),"great condition, near mint",B+,75.44,98.07
DC,451,Detective Comics,Detective Comics (beware the night of the batman),"bottomr right corner dented, spine worn a little, good condition",B+,22.97,29.87
Atlas,1,Targitt,Targitt (Origin),"Good condition, slight spine wear",B+,22.48,29.22
DC,6,Weird Worlds,Weird Worlds (tarzan),"Pines is okay, slight wear, fair condition",B,55.91,72.68
DC,422,Detective Comics,Detective Comics (Unmasking of batgirl),"bottom has some tearing, top left corner is torn, right corner is creased",C,43.67,56.77
DC,5,"Wanted, The World's Most Dangerous Villains",Wanted (iron mas and doctor light),"spine is worn down, good condition",B+,8.39,10.90
Charlton,9,Space Adventures,Space Adventures (Reprint: Space Adventures No. 33/1st appearance of Capt. Atom),"bottom left corner creased, great condition",B+,28.83,37.48
Atlas,2,The Cougar,"The Cougar (Origin of The cougar/Werewolf story/Cover by Buckler,last issue)","bottom right corner creased, good spine, great colors",B+,56.32,73.22
Atlas,3,Tiger-Man,"Tiger-Man (Art by Steve Ditko, last issue)","bottom left corner is worn a bit, good condition",B+,91.83,119.38
Atlas,2,Tiger-Man,Tiger-Man (Art by Steve Ditko),"Great Condidtion , near mint",B+,100.48,130.62
Charlton,108,Fightin' Army,Fightin' Army (the victors),"spine is worn, bottom left corner is worn, top left corner worn, fair condition",B-,40.68,52.89
Charlton,115,Fightin' Army,Fightin' Army (bommer),Near Mint,A,48.60,63.18
Gold Key,45,The Twilight Zone,The Twilight Zone (he cheated the artist out of his fee and the paintings have come to collect),"spine worn, rigth side creased and torn a bit, writing on front, fair to bad condition",B-,68.64,89.24
DC,49,Metal Men,Metal Men (destruction),"Great condition, near mint",B+,80.58,104.75
DC,45,Metal Men,Metal Men (the mad menace of the plutonium man),"rigth side has some wear, spine is good , great condition",B+,61.37,79.78
Atlas,1,The Cougar,The Cougar (Art by Dan Adkins/Vampire),Near Mint,A,40.37,52.48
Charlton,28,Space War,Space War (Cover and art by Steve Ditko),"Great condition, near mint",B+,99.06,128.78
Atlas,1,Tiger-Man,Tiger-Man (Cover by Gene Colan/Origin),"spine is slightly worn, great condition",B+,8.61,11.19
Charlton,7,E-Man,E-Man (Back-up story art by John Byrne),"slight wear on bottom left corner, great condition",B+,89.90,116.87
Charlton,86,Captain Atom,Captain Atom (fury of the faceless foe),"wear around spine and corners, slight discoloration, great condtion",B+,14.55,18.92
DC,7,Batman Annual,Batman Annual (Thrilling adventures of the whole bat family),"wear on the spine and to the right of cover, good condition",B+,57.03,74.14
DC,455,Detective Comics,Detective Comics (Heart of a Vampire),"Spines has some wear, bottom rigth corner dented, good condition",B+,6.35,8.26
DC,390,Detective Comics,Detective Comics (Batman and Robin),"Spine has some wear, some tears on the cover, good condition",B+,14.53,18.89
DC,408,Detective Comics,"Detective Comics (batman and Batgirl,vs Dr. Tzin-Tzin)","Near mint, awesome condition",A,17.04,22.15
DC,464,Detective Comics,Detective Comics (Black Spider),"corners creased or dented, spine is good, okay condition",B+,38.79,50.42
DC,450,Detective Comics,Detective Comics (the cape-and-cowl death trap),"spine is great, bottom left corner is worn, good condition",B+,16.00,20.80
DC,478,Detective Comics,Detective Comics (clayface is back),Near Mint,A,88.87,115.53
DC,449,Detective Comics,Detective Comics (Midnight rustler of gotham city),"Top right corner creased, top worn, good condition",B+,80.45,104.58
DC,333,Detective Comics,Detective Comics (hunters of the elephants' graveyard),"spine is worn and top is worn, creases around, left corners creased and dented, okay condition",B,20.29,26.38
DC,183,Batman,Batman (holy emergency),"top right corner torn off, right side is worn, spine is worn down, left corners are dented and creased, not great condition",B+,18.64,24.23
DC,401,Detective Comics,"Detective Comics (Batman, batgirl, and robin)","bottom rigth corner torn and creased, spine worn, corners are creased and worn, okay condition",B,54.03,70.24
DC,394,Detective Comics,Detective Comics (batman and robin),"Spine is worn, top rigth corner creased, goodd condition",B+,60.08,78.11
DC,402,Detective Comics,Detective Comics (man or bat),"spine is heavly worn, right corners are creased and worn, beind down the cover, fair - condition",B-,18.91,24.58
DC,466,Detective Comics,Detective Comics (1st appearance the signalman),"bottom rigth dented, good condition",B+,56.44,73.38
DC,454,Detective Comics,Detective Comics (Hawkman),"spine is okay, bottom right corner is creased, okay ish condition",B,58.29,75.78
DC,474,Detective Comics,"Detective Comics (Deadshot's revenge,Deadshot Appears)",near mint,A,63.19,82.15
DC,468,Detective Comics,"Detective Comics (JLA,first marshall rogers art)","bottom right corner creased, great condition",B+,90.61,117.80
DC,479,Detective Comics,"Detective Comics (vs Clayface, Hawkman backup story)",Near Mint,A,23.09,30.02
DC,473,Detective Comics,"Detective Comics (Batman and Robin vs, Penguin)",Near mint,A,81.34,105.75
DC,418,Detective Comics,Detective Comics (Batman and Batgirl),"Spine is worn, right corners are worn and creased, weird crease over price",C,10.03,13.04
DC,477,Detective Comics,Detective Comics (Art: Neal Adams),Near Mint,A,70.04,91.05
DC,480,Detective Comics,Detective Comics (Hawkman backup),"Top right corner creased, spine is great, good condition",B+,66.88,86.95
DC,437,Detective Comics,Detective Comics (New Manhunter),"Creases everywhere, corners are creased, spine is worn, cover is worn",C,26.55,34.52
DC,462,Detective Comics,Detective Comics (Kill batman-triplicate),good condition,B+,30.11,39.14
DC,460,Detective Comics,Detective Comics (tim Trench),"black mark over price, bottom left corner worn, good condition",B+,14.77,19.20
DC,457,Detective Comics,Detective Comics (a haunting story),"spine is worn, bottom right corner creased, good condition",B+,7.93,10.30
DC,458,Detective Comics,Detective Comics (the real Batman dies next),"bottom corn a bit, great condition",B+,98.34,127.85
DC,452,Detective Comics,Detective Comics (batman wont use a gun),"top right corner creased, spine is okay, good condition",B,47.95,62.33
DC,459,Detective Comics,Detective Comics (Murder),"top right corner creased, bottom left dented, good condition",B+,14.66,19.06
DC,463,Detective Comics,Detective Comics (Batman vs. Black Spider),"top left corner worn, bottom left corner worn, good condition",B+,62.54,81.30
DC,470,Detective Comics,Detective Comics (vs Dr. Phosphorus),Near Mint,A,58.10,75.53
DC,453,Detective Comics,"Detective Comics (vs crime extange, limited distributation)","bottom corners creased or dented, top right corner dented, good condition",B+,79.55,103.42
DC,405,Detective Comics,Detective Comics (1st appearance of league of assassins),"spine worn, right side worn, corners on right dented or creased, good cnondition",B+,79.06,102.77
DC,448,Detective Comics,"Detective Comics (vs. rash al gul, return of talia)","Creased in the middle of cover, numbers written in center, corners are good, fair condition",B+,15.35,19.95
DC,446,Detective Comics,Detective Comics (Slaughter in Silver),"Bottom right corner creased, top left corner creased, spine good, great condition",B+,15.48,20.12
DC,189,Superboy,Superboy (curse of the hangmans noose),"Creased in the middle of cover bad, spine bad, cover seperating from staples, corners okya, fair-- codition",C,52.16,67.80
DC,467,Detective Comics,Detective Comics (ive killed the batman),"bottom is worn, bottom left corner is worn, great condition",B+,85.10,110.63
DC,373,Detective Comics,Detective Comics (batman and robin vs. Mr. Freeze),"spine is really worn, cover is worn away batmans face, creases all over, corners are okay",B,5.67,7.37
Atlas,1,Savage Combat Tales,Savage Combat tales (Origin and 1st appearance of Sgt Strykers Death Squad/Story by Goodwin),"bottom corners worn and creased, great condition",B+,64.75,84.18
DC,234,Batman,Batman (1st Silver-Age Two-Face),"bottom rigt corner torn, spine is okay, right side creased, top right cornr is creased, top is creased, good condition",B,38.17,49.62
DC,338,Detective Comics,Detective Comics (batman's super-powered punch),"right side worn, spine some wear around staples, middle page has been ripped out, some writing on the front cover",B,100.46,130.60
DC,475,Detective Comics,Detective Comics (Marshall Rogers Art. Joker Cover),Near Mint,A,16.76,21.79
DC,355,Detective Comics,Detective Comics (batman's life-hanging by a thread),"corners creased, front cover has rip, spine is okay, okay condition close to fair",B,37.88,49.24
DC,200,Batman,Batman (Batman Origin Retold),"Corners creased or dented, spine is worn around staples and in the middle, good condition",B+,36.59,47.57
DC,156,Batman,Batman (Robin dies at Dawn),"bottom rigth corner creased, worn a bit near right corner, spine worn, worn around staples, top of cover worn, good ish condition",B+,25.77,33.50
DC,150,Batman,Batman(Robin super streght),"Spine is worse for wear, stain over price and dc logo, left side is worn completely, corners dented and torn, fair condition",B-,29.97,38.96
DC,232,Batman,Batman (First Ra's Al Ghul),Mint Condition,A+,7.76,10.09
DC,237,Batman,Batman (1st Reaper),"some wear on top part of spine, corners great, near mint",B+,11.64,15.13
DC,476,Batman,Batman (Marshall Rogers Art. Classic Sign of The Joker Cover),"Spine worn a bit, great condition",B+,12.52,16.28
DC,476,Batman,Batman (Marshall Rogers Art. Classic Sign of The Joker Cover),"Spine worn a litt, mint condition",A+,25.78,33.51
DC,442,Detective Comics,Detective Comics (death flies the haunted sky),"near top of spine bent, great condition other wise",B+,6.91,8.99
DC,445,Detective Comics,Detective Comics (End: 100 pg. issues),"corners worn and creased, spine is worn, fair condition",B-,78.49,102.04
DC,439,Detective Comics,Detective Comics (night of the stalker),"Spine worn, corners worn, fair condition",B-,6.02,7.82
DC,444,Detective Comics,Detective Comics (Batman becomes bat murderer),"Spine is off center okay condition, corners dented or torn, creases around bottom right corner",B,25.92,33.69
DC,256,Batman,Batman (100 page),"Good condition small crease on front cover near spine, bottom right corner creased, a bit of wear",B+,25.03,32.53
DC,120,Brave and the Bold,Brave and the Bold (Batman and Kamandi),Near Mint,A,43.19,56.14
DC,251,Batman,Batman (joker by neal adams),"spine is okay, right corners dented and creased, good condition",B,12.74,16.56
DC,275,Batman,Batman (First joey one-eye),"good condition, near mint",B+,74.61,97.00
DC,443,Detective Comics,Detective Comics (batman and manhunter),Great Condition,B+,30.10,39.12
DC,289,Batman,Batman (sign of the skull),"bottom corners creased or worn, great condition",B+,74.70,97.10
DC,271,Batman,Batman (The corpse came cod),Near Mint,A,88.35,114.85
DC,244,Batman,Batman (Art: Neal Adams),"some wear on ""B"" of batman, corners are great, spine is good, great condition",B+,92.64,120.43
DC,243,Batman,Batman (Art: Neal Adams),"bottom left corner worn, spine worn, top right corner creased, good condition",B+,35.95,46.73
DC,302,Batman,Batman (Wire head killers),Near Mint,A,66.81,86.85
DC,235,Batman,"Batman (daughter of the demon, rah al ghoul return)","top right corner creased, bottom right corner worn, bottom has slight tear, fair condition",B-,76.80,99.84
DC,266,Batman,Batman (catwoman),"bottom right corner worn, bottom left corner worn, great spine",B+,21.23,27.60
DC,290,Batman,Batman (skull),"top left corner dented, great condition",B+,11.80,15.35
DC,305,Batman,Batman (slot machine),Near Mint,A,91.64,119.13
DC,291,Batman,Batman (Joker),Near Mint,A,90.28,117.37
DC,277,Batman,Batman (riddle of the man who walked backwards),"crease on top right corner, good condition",B+,33.91,44.08
DC,299,Batman,Batman (Batmans ghost),Near Mint,A,10.85,14.11
DC,303,Batman,Batman (intro to batmans most bizarre foe),"bottom left corner frayed, crease next to the spine, spine is okay, great condition",B,28.57,37.14
DC,273,Batman,Batman (cannon),Near Mint,A,1.16,1.51
DC,264,Batman,Batman (Death of a Daredevil),"Bottom right corner creased, spine good, great condition",B+,89.14,115.88
DC,307,Batman,Batman (gold coins),"bottom rigth corner worn, good spine, good condition",B+,13.18,17.14
DC,269,Batman,Batman (the daily death of terry tremayne),"bottom right corner creased, great spine, good condition",B+,2.02,2.62
DC,236,Batman,Batman (wall of the Ghost Bride),"torn top left corner also creased, 14 written next to price, spine is good, okay condition",B+,17.53,22.79
DC,270,Batman,Batman (Menace of the fiery Heads),"bottom left corner worn, near mint",A,59.75,77.68
DC,301,Batman,Batman (the only man batman ever killed),"bottom left corner worn, great condition",B+,2.86,3.72
DC,240,Batman,Batman (batman great face-savigng feat),"spine is in bad condition, cover is removed from front staples, ""batman is a prick"" written on front, corners are good, fair condition",C,87.46,113.70
DC,285,Batman,Batman (Bear-demon),"bottom right corner creased, good condition other wise",B+,73.96,96.15
DC,280,Batman,Batman (the only crime in town),Near Mint,A,84.75,110.17
DC,284,Batman,Batman (Dr. Tzin-tzin),Near Mint,A,77.48,100.72
DC,304,Batman,Batman (Ghost batman),"Right corner has some fadding, spine great, good condition",B+,87.29,113.47
DC,292,Batman,Batman (the testimony of the riddler),near Mint,A,53.65,69.75
DC,293,Batman,Batman (superman),Near mint,A,41.23,53.60
DC,296,Batman,Batman (scarecrow),Near Mint,A,82.15,106.80
DC,441,Detective Comics,Detective Comics (judgment day),"slight spine wear, small rip on bottom, rigth side worn, good condtion though",B+,26.42,34.34
Charlton,3,Blue Beetle (volume 4),Blue Beetle (volume 4) (Cover and art by Steve Ditko),"bottom left corner is creased and torn, spine is okay, some fadding, good condition",B,39.19,50.94
Fawcett,82,Dennis the Menace (volume 3),Dennis the Menace (Volume 3) (blue angels),"spine iis worn around top staples and worn about, top worn corners are worn, cover clearly worn, fair - condition",B-,71.48,92.92
DC,1,Super Friends Special,Super Friends Special (Promotional give-away/'TV Comic' on cover),"been written in, corners are good, spine is okay and worn, cover seperating from staples",B+,68.03,88.44
DC,226,World's Finest Comics,World's Finest Comics (the freak who never fails),"spine is worn a bit, top right corner is creased, rigth side is creased, bottom cover is worn a bit, bottom left corner dented",B,84.99,110.48
DC,22,Weird Western Tales,Weird Wester Tales (Jonah Hex),"Spine is worn a bit, bottom rigth corner creased, top right conrer creased, good ish condition",B+,85.89,111.66
DC,39,Weird Western Tales,Weird Wester Tales (Scalphunter),"trear next to ""nt"", bottom right corner creased, bottom left of spine torn, spine worn a bit, top corner dented, top part of right of corner worn, good condition",B+,43.92,57.09
DC,40,Weird Western Tales,Weird Wester Tales (Scalphunter),"spine slightly worn, great condition",B+,43.58,56.65
DC,46,Weird Western Tales,Weird Wester Tales (Scalphunter),"Weird shading over scalphunter, spine is great, good ish condition",B+,5.10,6.63
DC,45,Weird Western Tales,Weird Wester Tales (Scalphunter),"bottom right corner slightly creased, Great condition",B+,94.35,122.66
DC,211,The Unknown Soldier,The Unknown Soldier (move out),"top left corner dented, spine is great, okay condition",B+,42.14,54.78
DC,187,Star Spangled War Stories,Star Spangled War (the Unknown Soldier),Near Mint,A,10.63,13.81
Charlton,25,War Heroes,War Heroes (red bait),"Spine is worn a bit, top left corner dented, top right corner dented, top part of cover worn and torn, bottom left corner creased and torn, left corner dented",C,20.24,26.31
DC,251,World's Finest Comics,World's Finest Comics (the invasion of the deathless brain),"spine sligtly worn, top left corner dented and torn a bit, bottom left corner worn, crease in bottom part of cover, great condition",B+,29.30,38.09
DC,185,World's Finest Comics,World's Finest Comics (the galactic gamblers),"Spine is okay, top left corner weird rip, corner dented, great condition",B,83.05,107.96
Charlton,17,World of Wheels,World of Wheels (Features Ken King in all),"spine is worn, bottom left corner is torn, top left corner is worn, top righ corner stained and dented, other wise good condition",B+,94.79,123.23
DC,234,World's Finest Comics,"World's Finest Comics (superman, batmand quit earth)","Spine is great, top right corner is dented, bottom left corner is dented, top part of cover slightly worn, great condition",B+,29.63,38.52
DC,31,Weird War Tales,Weird War Tales (skelington dogs),"great condition, bottom right corner worn, great condition",B+,20.15,26.20
DC,8,Weird Worlds,Weird Worlds (Iron Wolf),"spine is worn around staples, bottom part of spine has stain, bottom left corner dented, bottom left corner creased, top right corner creased, top left corner dented",B,5.51,7.16
DC,9,The Warlord,The Warlord (blue wolf),Near Mint,A,2.93,3.81
DC,34,Weird War Tales,Weird War Tales (goelem),Near Mint,A,3.16,4.11
DC,7,Weird Worlds,Weird Worlds (tarzan),"Spine worn around staples and center, bottom worn, bottom left corner torn, bottom left corner worn, weird imprint over title, fair condition",B-,78.46,102.00
DC,440,Detective Comics,Detective Comics (ghost mountain midnight),"Spine is off center, bottom left corner worn and torn, top part of cover is worn, fair condition",B-,82.33,107.03
DC,409,Detective Comics,"Detective Comics (batman and batgirl,BBn . Tracy Calhoun)","spine is good, slight tearing next to number, bottom part of cover worn, top part of cover worn, bottom right corner dented/worn same for bottom left",B+,72.49,94.24
DC,405,Detective Comics,Detective Comics (1st appearance of league of assassins),"Spine is okay, great corners, awesome condition, near mint",B,93.46,121.49
DC,138,Brave and the Bold,Brave and the Bold (Batman and Mister Miracle),Near Mint,A,99.92,129.89
DC,130,Brave and the Bold,Brave and the Bold (Batman and Green Arrow),"top right corner torn, spine is okay, bottom left corner discoloration, bottom left corner dented",B,83.42,108.45
DC,276,Batman,Batman (the haunting of the spook),"some wear around bottom staple, near mint",A,19.22,24.99
